Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
188,Russ Lee,23,MIL,SF,46,,6.0,1.1,2.8,.386,0.7,0.9,.744,0.9,0.8,0.8,2.8,,leeru01
189,Eddie Mast,24,ATL,PF,42,,10.6,1.2,2.8,.424,0.5,0.7,.633,3.2,0.9,1.2,2.8,,masted01
190,Steve Patterson,24,CLE,C,62,,11.5,1.1,3.2,.359,0.5,1.0,.523,3.7,0.8,1.3,2.8,,pattest01
191,Bob Rule,28,2TM,C,52,0,8.7,1.2,3.0,.380,0.4,0.6,.645,2.1,0.7,1.3,2.7,,rulebo01
191,Bob Rule,28,PHI,C,3,0,4.0,0.0,0.3,.000,0.0,0.0,,0.7,0.3,0.7,0.0,,rulebo01
191,Bob Rule,28,CLE,C,49,,9.0,1.2,3.2,.382,0.4,0.6,.645,2.2,0.8,1.3,2.9,,rulebo01
192,Bob Portman,25,GSW,SF,32,,5.5,1.0,2.2,.457,0.6,0.8,.769,1.6,0.2,0.5,2.6,,portmbo01
193,Justus Thigpen,25,DET,SG,18,,5.5,1.3,3.2,.404,0.0,0.0,,0.5,0.4,1.0,2.6,,thigpju01
194,Tom Riker,22,NYK,C,14,0,4.6,0.7,1.7,.417,1.1,1.7,.625,1.1,0.1,1.1,2.5,,rikerto01
195,Hank Finkel,30,BOS,C,76,,6.5,1.0,2.3,.451,0.4,0.7,.538,2.0,0.3,1.1,2.4,,finkeha01
196,Tom Patterson,24,BAL,PF,23,,4.0,0.9,2.1,.429,0.6,0.7,.813,1.0,0.1,0.8,2.4,,patteto01
197,Sam Sibert,23,KCO,PF,5,,5.2,0.8,2.6,.308,0.8,1.0,.800,0.8,0.0,0.8,2.4,,sibersa01
198,George Johnson,25,HOU,C,19,,8.9,1.1,2.1,.513,0.2,0.2,.750,2.4,0.2,1.7,2.3,,johnsge01
199,Dick Cunningham,26,MIL,C,72,,9.6,0.9,2.2,.410,0.4,0.7,.580,2.9,0.5,1.3,2.2,,cunnidi01
200,Eric McWilliams,22,HOU,PF,44,,5.6,0.8,2.2,.347,0.4,0.8,.486,1.4,0.1,1.0,2.0,,mcwiler01
201,Tom Sanders,34,BOS,SF,59,,7.2,0.8,2.5,.315,0.4,0.6,.657,1.5,0.5,1.4,2.0,,sandeto01
202,Bill Turner,28,2TM,PF,21,,6.0,0.9,2.8,.328,0.2,0.3,.571,1.3,0.5,0.8,2.0,,turnebi01
202,Bill Turner,28,POR,PF,2,,4.0,1.0,3.0,.333,0.0,0.0,,1.0,0.0,1.5,2.0,,turnebi01
202,Bill Turner,28,LAL,PF,19,,6.2,0.9,2.7,.327,0.2,0.4,.571,1.3,0.6,0.7,2.0,,turnebi01
